,Cause,Company Name,Cummulative Hrs,Date and Time,Depth,LT ID,LT Summary,LT Type,Object,Parent LT ID,Report Date,Rig Name,Time in Hrs,Well No
2594,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,HI-4,Hrs,BRRI-1001
2595, FOT, SDM, 16,23 Aug 1300 - 0500, 9518, 901217," 
SLB ADN TOOL LOST COMMUNICATION, TROUBLESHOOT AND ATTEMT TO REESTABLISH COMMUNICATION, NO SUCCESS", BHA, MWD, ,08/23/2022,HI-4, 16,BRRI-1001
2596,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,JACK-202,Hrs,THRY-829
2597, FOT, RIG, 11.5,23 Aug 0500 - 1630, 2165, 901161," DRILLER CONSOLE GAUGES WRONG READINGS (ROTARY TORQUE GAUGE & PUMP PRESSURE GAUGE).
RETURN FLOW GAUGE WRONG READINGS.", RR, HSYS, ,08/23/2022,JACK-202, 11.5,THRY-829
2598,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,MP-1,Hrs,MRJN-78
2599, FOT, NRT, 533.5,31 Jul 0245 - 0500, 3000, 900303, NOV BULLNOSE & 4 INTERNAL HOUSING PARTS LOST IN HOLE DURING REAMING TRIP., BHA, UNDR, ,08/23/2022,MP-1, 24,MRJN-78
2600,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,NBR-263S,Hrs,QTIF-736
2601, STBH, ARM, 275.75,29 Jul 0230 - 0500, 13970, 900313,"  GOT STG STUCK AFTER OPEN BOP FOR WELL OBSERVATION, WELL STATIC, TRIED TO MOVE STG W/O SUCCESS & WORK ON STUCK, CUT PIPE & PLAN TO ST.", STUK, BHA, ,08/23/2022,NBR-263S, 24,QTIF-736
2602,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,PN-9,Hrs,MRJN-673
2603, CFST, HCM, 219.25,14 Aug 2045 - 0000, 8745, 900824," WHILE PUMPING DOWN WFD DV OPENING PLUG FOR 1ST STAGE CEMENT JOB, STRING PRESSURED UP 34 BBLS PRIOR TO THEORETICAL DISPLACMENT. ATTEMPT TO BUMP WFD DV OPENING PLUG AND OPEN WFD DV PORTS WITH MAX 3500 PSI, NO SUCCESS. INSPECT SURACE CEMENT SAMPLES - SAMPLES SET & HARD.", CMT, NA, ,08/23/2022,PN-9, 19,MRJN-673
2604,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,RBP-50A,Hrs,HSBH-52
2605, WTHR, ARM, 43,09 Aug 0500 - 1230, 12595, 900658," WAIT ON WEATHER, UNABLE TO FLOWBACK DUE TO UNFAVORABLE WIND CONDITION.", WON, NA, ,08/23/2022,RBP-50A, 7.5,HSBH-52
2606,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SCTD-1,Hrs,SDGM-1084
2607, FOT, RIG, 7,23 Aug 2200 - 0500, 13558, 901214, DOWN HOLE MOTOR FAILURE, BHA, MMOT, ,08/23/2022,SCTD-1, 7,SDGM-1084
2608,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SINO-25,Hrs,MNIF-645
2609, FOT, NWL, 9.5,23 Aug 1900 - 0430, 7410, 901220, NPS TRACTOR HAD SHORT CIRCUIT AND THE TRACTOR ELECTRONIC PANEL NOT WORKING WHILE RIH., TF, WLTT, ,08/23/2022,SINO-25, 9.5,MNIF-645
2610,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SINO-33L,Hrs,HRDH-1542
2611, FOT, RIG, 40,22 Aug 1300 - 0500, 1396, 901172," WHILE DRILLING, THE ADJUSTABLE PLATE PARTED AND TDS MONORAIL SLIP DOWN ON RIG FLOOR IN VERTICAL POSITION", RR, TDS, ,08/23/2022,SINO-33L, 24,HRDH-1542
2612,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SINO-43L,Hrs,UTMN-4809
2613, FOT, BHI, 25.25,22 Aug 2100 - 0045, 5731, 901157," WHILE MRSS DRLG, HAD MOTOR STALLS ON BTM & PRESSURE SPIKES OFF BTM. TROUBLESHOOT, FOUND RUBBER AT THE SHAKER. SUSPECT MOTOR FAILURE.", BHA, MMOT, ,08/23/2022,SINO-43L, 17.25,UTMN-4809
2614,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SINO-5L,Hrs,UTMN-639
2615, FOT, SPS, 28,22 Aug 2330 - 0330, 9876, 901137," LOST SIGNAL FOR ALL MWD/LWD TOOLS, TROUBLE SHOOTING-NO SIGNAL.", BHA, LWD, ,08/23/2022,SINO-5L, 22.5,UTMN-639
2616,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-2001,Hrs,HWYH-1229
2617, UNKN, RIG, 10.5,23 Aug 1330 - 0000, 2681, 901216," WHILE CIRCULATING THRU CASING USING CIRCULATING HEAD & CHICKSAN LOOP SECURED BY TUGGER LINE  AT 740PSI. CIRCULATING HEAD FAILED, JUMPED CAUSING  CHICKSAN LOOP TO SWING AND HIT THE IP AND CAUSING BRUISES IN HIS RIGHT SHOULDER AND ABDOMINAL AREA. IP WAS SENT TO THE HOSPITAL FOR FURTHER MEDICAL TREATMENT. INVESTIGATION ON GOING.", HSEI, NA, ,08/23/2022,SND-2001, 10.5,HWYH-1229
2618,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-2003,Hrs,GZLN-1
2619, FOT, RIG, 24,23 Aug 0500 - 0500, 5452, 901218, BOP LEAKS WHILE PRESSURE TESTING , BOP, BOP, ,08/23/2022,SND-2003, 24,GZLN-1
2620,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-2004,Hrs,BRRI-1148
2621, FOT, SWT, 175.75,16 Aug 0700 - 0500, 6351, 900934," HELD UP INSIDE 7"" LINER @ AT 6,351' WHILE RIH W/ SLB DST#2 STRING. ATTEMPT TO SET PKR & OPEN TFTV WITHOUT SUCCESS- TRIP OUT TO CHECK DST ASSY.", TF, DSTT, ,08/23/2022,SND-2004, 15.25,BRRI-1148
2622,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-2005,Hrs,MHKK-2
2623, WOTO, ARM, 6.25,23 Aug 2245 - 0500, 5828, 901213," WAIT ON WFD HANDLING EQUIPMENT TO RUN 2-7/8"" CEMENT STINGER. LAST MINUTE CHANGE OF PLANS TO SET CEMENT PLUG.", WO, NA, ,08/23/2022,SND-2005, 6.25,MHKK-2
2624,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-2007,Hrs,AWTD-104001
2625, FOT, BHI, 36,22 Aug 1400 - 0200, 18640, 901156, BAKER LOST COMMUNICATION WITH THE AUTOTRAK RSS TO THE MWD TOOL. , BHA, MWD, ,08/23/2022,SND-2007, 21,AWTD-104001
2626,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SND-3001,Hrs,SMNH-10
2627, FOT, SWL, 3,23 Aug 0000 - 0300, 0, 901215, LOST COMMUNICATION WITH CBL TOOLS, TF, WLT, ,08/23/2022,SND-3001, 3,SMNH-10
2628,6551, 6551,TI,E,  4186,STDP," CONTD RIH 6-1/8"" NOV CORE ASSY CONTROLLED SPEED FROM 2470' TO CORE POINT @ 6551'.-WASH AND REAM DOWN TILL TAG BTM @6551'",6551, 2470,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2629,6551, ,CIRC,E,  4186,MPMP,  CIRCULATE BTMS UP & CHC WITH 200 GPM & PRESSURE 700 PSI.,6551, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2630,6551, ,CIRC,E,  4186,MPMP," DROP 1"" NOV DIVERTING BALL, PUMP DOWN WITH 80 GPM & WAIT TILL SEATED IN ORDER TO DIVERT FLUID AWAY FROM THE INNER BARREL. -CONFIRM SPACE OUT FOR CUTTING THE CORE@6551' -RECORD SPR'S, P/U AND S/O WT'S, TORQUE READINGS.",6551, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2631,6559, ,CORE,E,  4186,CORC,"CUT 6-1/8"" X 2 5/8"" CORE RUN #4 FROM 6551' TO 6559' W/70 PCF POLYMER MUD W/ 100 % RETURNS.-CORING PARAMETERS: WOB: 3-8 KLBS, (RPM: 65 - TQ 2-3 KLFTLB) & (GPM: 180 - PRESS 850 PSI)-NO PROGRESS LOST TOURQUE & ROP, TROUBLE SHOOT SEVERAL TIMES WITHOUT PROGRESS GOT JAMMING -CORE JAMMED AFTER CUTTING 08' @ 6559' AND THE PLAN WAS TO CUT 90 FT.",6551, ,CPR,08/23/2022,SP-53L,CORE,HRDH-528
2632,, ,CIRC,E,  4186,MPMP,CIRCULATE BTM UP WITH 120 GPM @ 600 PSI WITH FULL RETURNS. ,6559, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2633,, ,SDR1,E,  4186,NA,FLOW CHECK-WELL STATIC OK.,, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2634,, 6374,TO,E,  4186,SPHDP,"HPJSM, POOH 6 1/8"" NOV CORING ASSY. TO/7"" CSG SHOE @ 6374' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.-MONITOR WELL THROUGH TRIP TANK & TRIP SHEET.",, 6560,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2635,, ,SDR1,E,  4186,NA,"FLOW CHECK @ 7"" CSG SHOE -WELL STATIC OK.",, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2636,, 5900,TO,E,  4186,STDP,"POOH 6 1/8"" NOV CORING ASSY. FROM / 7"" CSG SHOE @ 6374' TO 5900' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.-MONITOR WELL THROUGH TRIP TANK & TRIP SHEE",, 6374,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2637,, ,SDR1,E,  4186,NA, FLOW CHECK AFTER PULL 5 STDS - WELL STATIC OK,, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2638,, 1597,TO,E,  4186,STDP,"CONTD POOH 6 1/8"" NOV CORING ASSY. TO 7"" TOL@ 1597' CONTROLLED SPEED 3MIN/STD SLIPS TO SLIPS.-MONITOR WELL THROUGH TRIP TANK & TRIP SHEET.",, 6374,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2639,, ,SDR1,E,  4186,NA," FLOW CHECK @7"" TOL WELL STATIC OK.",, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2640,, 615,TO,E,  4186,STDP,"CONTD POOH 6-1/8"" NOV CORING ASSY. RUN #4 TO 615' CONTROLLED SPEED 6MIN/STD SLIPS TO SLIPS.-MONITOR WELL THROUGH TRIP TANK & TRIP SHEET.",, 1597,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2641,, ,SDR1,E,  4186,NA,FLOW CHECK AT TOP BHA - WELL STATIC OK.-CHECKING FOR H2S-ZERO H2S READING.,, ,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2642,, ,HT,E,  4186,CORC,"HPJSM, CON'T POOH 6-1/8"" NOV CORING ASSY. RUN #4 TO SURFACE CONTROLLED SPEED 6 MIN/STD SLIPS TO SLIPS.-RUN RIG FLOOR BUG BLOWER & CHECKING FOR H2S AT SURFACE ZERO H2S READING.-ALL CREW ON RIG FLOOR MASKED UP DURING DISCONNECTING CORE INNER BARREL.-DISCUSSED HSE ALERT 15-19 TRAPPED PRESSURE IN THE CORE INNER ALUMINUM BARREL.-L/D INNER BARREL, 05' RECOVERED (62.5 % RECOVERY) FROM CORE RUN #4-CORE HEAD DULL : 1-1-WT-A-X-NO-TD",, ,NOC,08/23/2022,SP-53L,CORE,HRDH-528
2643,, ,HT,E,  4186,CORC," HPJSM, P/U & M/U 6-1/8"" NOV CORE ASSY. RUN#5 -6-1/8""  NEW CORE HEAD ( TYPE : CDPH713S)+ 4-3/4"" CORE OUTER BARRELS & 3-3/8"" INNER BARRELS (60FT) + FLOAT SUB W/ FLAPPER TYPE FLOAT VALVE (BALL SIZE IS 1"")+15 X 4-3/4"" DC'S+ 4-3/4"" DRILLING JAR+2 X 4 3/4"" DC'S +XO+ DP'S.",, ,NOC,08/23/2022,SP-53L,CORE,HRDH-528
2644,, 3562,TI,E,  4186,STDP,"RIH 6-1/8"" NOV CORE ASSY CONTROLLED SPEED FROM 615' TO 7"" CSG SHOE @3562'.-GENTLY PASSED 7"" TOL ",, 615,RIG,08/23/2022,SP-53L,CORE,HRDH-528
2645, 164.25, OOS,Category,DOOS ID, CORE,Out of Scope Summary,  ALL CORING OPERATION AND THE REAMING TRIP IS OOS., 24, 4186,13 Aug 0230,08/23/2022,SP-53L,Type,HRDH-528
2646,,,,,,,,,,,,,,
2647,,,,,,,,,,,,,,
2648,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SP-58,Hrs,HRDH-795
2649, FOT, RIG, 1,23 Aug 1700 - 1800, 13700, 901164, OBSERVED LEAK IN DRAW WORK AIR HOSES., RR, DWKS, ,08/23/2022,SP-58, 1,HRDH-795
2650, FOT, RIG, 1,23 Aug 0400 - 0500, 4420, 901221, RIG REPAIR EZY TORQ TONG., RR, HSYS, ,08/23/2022,SSA-5865, 1,FRHH-3
2651,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SSA-5865,Hrs,FRHH-3
2652, FOT, RIG, 2,23 Aug 1900 - 2100, 4420, 901166, IRON ROUGHNECK MALFUNCTION AND IMPACT TRIPPING PERFORMANCE. MANAGE TO CONTINUE OPERATION WITH CHAIN WRENCH AND MANUAL TONG. , RR, RSYS, ,08/23/2022,SSA-5865, 2,FRHH-3
2653, FOT, RIG, 1,23 Aug 0400 - 0500, 4420, 901221, RIG REPAIR EZY TORQ TONG., RR, HSYS, ,08/23/2022,SSA-5865, 1,FRHH-3
2654,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,SSA-5972,Hrs,SHDN-19
2655, FOT, HWP, 11,23 Aug 1800 - 0500, 14415, 901168, HALLIBURTON TPL LOGGING TOOL FAILURE., TF, WLT, ,08/23/2022,SSA-5972, 11,SHDN-19
2656,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/23/2022,STY-038,Hrs,ZULF-2089
2657, HINW, HWP, 67,21 Aug 1000 - 0500, 5537, 901117," HALLIBURTON MADE ANOTHER CORRELATION PASS BELOW PUNCHING DEPTH, CAUSING THE TOOL TO GET STUCK AT X-NIPPLE", STUK, WLT, ,08/23/2022,STY-038, 24,ZULF-2089
2658,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,088TE,Hrs,QTIF-519
2659, MATL, FMC, 3,24 Aug 0900 - 1200, 0, 901254," FRANKS BROUGHT WRONG HANDLING EQUIPMENT FOR 24"" CSG. ", WO, NA, ,08/24/2022,088TE, 3,QTIF-519
2660,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADC-32,Hrs,ANDR-1010
2661, FOT, RIG, 3,24 Aug 1600 - 1900, 10870, 901256, REPLACED TDS ENCODER AS SIGNAL OF OLD ENCODER WAS HAVING DISTORTION., RR, TDS, ,08/24/2022,ADC-32, 3,ANDR-1010
2662,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADC-42L,Hrs,SDGM-1258
2663, FOT, TK3, 8,24 Aug 2100 - 0500, 12520, 901271, STRING GOT PLUGGED WHILE FILLING UP., DSF, STRG, ,08/24/2022,ADC-42L, 8,SDGM-1258
2664,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADC-43L,Hrs,UTMN-3118
2665, FOT, RIG, 16.75,24 Aug 0500 - 0145, 12747, 901255," P/T 13-5/8"" 10M ANNULAR BOP NOT HOLD, DUE TO LEAK FROM PISTON SEALS OF ANNULAR BOP.", BOP, BOP, ,08/24/2022,ADC-43L, 16.75,UTMN-3118
2666,7045, 4336,TI,N,  4306,STDP," RIH W/ 8-1/2"" REAMING ASSY F/ 804' TO 9-5/8"" CSG SHOE @ 4336'.- FILL STRING EVERY 20 STADS.- MONITOR WELL ON TRIP TANK & TRIP SHEET, WELL STATIC.",7045, 804,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2667,7045, ,CIRC,N,  4306,MPMP,"BREAK CIRCULATION @ 9-5/8"" CSG SHOE, 100% RETURN.",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2668,7045, 7045,ST,N,  4306,STDP,"CONT'D RIH W/ 8-1/2"" REAMING ASSY ON ELEVATOR F/ 4336' TO BTM @ 7045', HOLE IN GOOD CONDITION.- FILL STRING EVERY 20 STADS.- WASH DOWN LAST STAND TO BTM- MONITOR WELL ON TRIP TANK & TRIP SHEET, WELL STATIC.",7045, 4336,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2669,7045, ,CIRC,N,  4306,MPMP,"SWEEP HOLE WITH 3 X 50 BBL'S HVP & CIRC HOLE CLEAN, SPOT 200 BBL TREATED POLYMER MUD 79 PCF AT BTM, 100% RETURN.",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2670,7045, ,WCNT,N,  4306,NA,"FLOW CHECK, WELL STATIC.",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2671,7045, 4336,ST,N,  4306,STDP,"POOH W/ 8-1/2"" REAMING ASSY ON ELEVATOR F/ 7045' TO 9-5/8"" CSG SHOE @ 4336', HOLE IN GOOD CONDITION.- FLOW CHECK AFTER POOH 5 STDS, WELL STATIC.- MONITOR WELL ON TRIP TANK & TRIP SHEET, WELL STATIC.",7045, 7045,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2672,7045, ,WCNT,N,  4306,NA,"FLOW CHECK, WELL STATIC.- SLUG PIPE",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2673,7045, 804,TO,N,  4306,STDP,"CONT'D POOH W/ 8-1/2"" REAMING ASSY F/ 4336' TO TOP BHA @ 804'.- MONITOR WELL ON TRIP TANK & TRIP SHEET, WELL STATIC.",7045, 4336,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2674,7045, ,WCNT,N,  4306,NA,"FLOW CHECK, WELL STATIC.",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2675,7045, ,HT,N,  4306,BHA,"POOH W/ 8-1/2"" REAMING BHA TO SURFACE & L/D BHA.- MONITOR WELL ON TRIP TANK & TRIP SHEET, WELL STATIC.",7045, ,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2676,7045, 0,LDP,E,  4305,STRG,"P/U, M/U & RACK BACK 4 STDS 4"" DP FOR THE PCL LOGGING.- MONITOR WELL ON TRIP TANK, WELL STATIC.",7045, 0,RIG,08/24/2022,ADC-54L,CT,HRDH-584
2677,7045, ,PJSM,E,  4305,NA,"HPJSM WITH RIG & BAKER WIRELINE CREW PRIOR TO RU RCX LOGGING TOOLS, DISCUSSED JSA & PROCEDURES, SAFETY ISSUES, KEEP GOOD COMMUNICATION BETWEEN DRILLER, WL ENGINEER AND WINCH MAN IN THE WL UNIT.- R/U & FUNCTION TESTED MECHANICAL AND HYDRAULIC WL CABLE CUTTERS, OK.",7045, ,RIG,08/24/2022,ADC-54L,LOG,HRDH-584
2678,7045, 176,LOG,E,  4305,WLT,"P/U & M/U BHI W/L LOGGING TOOLS RUN #2: RCX-IFX-GR (FORMATION TESTER & SAMPLING).- 2 X PROBE (STANDARD & XL)-SAMPLE VIEW, FLUID ANALYZER, 3 X PUMPS, 2 CARRIERS (10 TANK, 2 FILTER), STRADDLE PKR'S (02 EA)-GAMMA RAY AND CALIPER LOG.- PERFORM SURFACE FUNCTION CHECKS AND TOOL CALIBRATION ON SURFACE BEFORE RIH, OK.- TOTAL LOGGING TOOL LENGTH: 176.51', WT: 5,280 LB & MAX OD: 7.8"".- MONITOR THE WELL THROUGH TRIP TANK, WELL STATIC.",7045, 0,BAW,08/24/2022,ADC-54L,LOG,HRDH-584
2679,7045, 1400,ST,E,  4305,STDP,"HPJSM, RIH WL RUN#2 LOGGING TOOLS (RCX-IFX-GR) ON 4"" DRIFTED DP STDS WITH CONTROL SPEED 2 MIN/STD SLIPS TO SLIPS TO 1400' .. ONGOING @ RPT. - FILL STRING EVERY 10 STDS & BREAK CIRC.- MONITOR THE WELL THROUGH TRIP TANK, WELL STATIC.",7045, 176,RIG,08/24/2022,ADC-54L,LOG,HRDH-584
2680, 17.75, OOS, HCRM, 4306, LOG, CONDITION TRIP PRIOR PCL RCX LOG.," 8-1/2"" PILOT HOLE LOGGING : RUN#1: MREX LOG ON TWO MODES: GAS MODE & LIGHT OIL MODE / RUN#2: PCL LOG RUN#2: RCX-IFX-GR (PRESSURE & SAMPLES).", 6.75, 4305,23 Aug 0830,08/24/2022,ADC-54L, OOS,HRDH-584
2681,,,,,,,,,,,,,,
2682,,,,,,,,,,,,,,
2683,,,,,,,,,,,,,,
2684,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADC-55L,Hrs,UTMN-3171
2685, STBH, TK3, 598,30 Jul 0830 - 0500, 12245, 900335, PU STRING AFTER DROP PBL BALLS FOUND STRING STUCK., STUK, BHA, ,08/24/2022,ADC-55L, 24,UTMN-3171
2686,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADC-58L,Hrs,ABHD-169
2687, MATL, TK3, 17.25,23 Aug 1430 - 0500, 13523, 901233, OBSERVED A PIECE OF RUBBER FROM THE ANNULAR PACKING ELEMENTS' FINGERS JAMMED ON THE CABLE CLAMP WHILE POOH., WO, NA, ,08/24/2022,ADC-58L, 11.25,ABHD-169
2688,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADES-158,Hrs,ABQQ-590
2689, FOT, BHI, 17,24 Aug 1000 - 0300, 4858, 901252," HAD DECODING ISSUE FOR LWD SIGNAL, BCPM TOOL FAILURE.", BHA, LWD, ,08/24/2022,ADES-158, 17,ABQQ-590
2690,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ADES-174,Hrs,GHZL-72
2691, SFHS, BFW, 65.5,22 Aug 0530 - 2300, 11165, 901031," AFTER MILLING 4-1/2"" HALL VERSA FLEX LINER HGR, ATTEMPT TO POH, STRING STALLED WITH 30 KLBS OVERPULL, UNABLE TO MOVE UP/DOWN & ROTATION RESTRICTED. ", STUK, FISHT, ,08/24/2022,ADES-174, 18,GHZL-72
2692, FOT, HCO, 1.25,24 Aug 0345 - 0500, 200, 901276, UNABLE TO RETRIEVE HALLIBURTON RTTS., TF, RTTS, ,08/24/2022,AOD-11, 1.25,SFNY-1670
2693,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,AOD-11,Hrs,SFNY-1670
2694, XTRI, RIG, 1,24 Aug 0000 - 0100, 0, 901275, EXCESSIVE TIME TESTING WELLHEAD CASING VALVES., JF, WH, ,08/24/2022,AOD-11, 1,SFNY-1670
2695, FOT, HCO, 1.25,24 Aug 0345 - 0500, 200, 901276, UNABLE TO RETRIEVE HALLIBURTON RTTS., TF, RTTS, ,08/24/2022,AOD-11, 1.25,SFNY-1670
2696,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ARO-2003,Hrs,MNIF-733
2697, WOPF, AP2, 216,16 Aug 0500 - 0500, 0, 900956, WAIT ON FIELD SERVICE TO INSTALL ISOLATION PLUGS., WO, NA, ,08/24/2022,ARO-2003, 24,MNIF-733
2698,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ARO-3002,Hrs,MRJN-813
2699, HERR, BCT, 11,24 Aug 1800 - 0500, 8852, 901268, BAKER COIL TUBING REEL PLUG UP., JF, CTAC, ,08/24/2022,ARO-3002, 11,MRJN-813
2700,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,DPS-45,Hrs,UTMN-2331
2701, FOT, SDM, 25.75,23 Aug 0315 - 0500, 18171, 901171, LOST COMMUNICATION W/ SLB TOOLS MWD/LWD ., BHA, MWD, ,08/24/2022,DPS-45, 24,UTMN-2331
2702,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,DQ-47,Hrs,KHRS-280
2703, FOT, BAW, 12.75,24 Aug 1615 - 0500, 11860, 901263, RDD REQUEST TO REPEAT THE LOG OF OPEN HOLE TO CONFIRM QUALITY LOG DATA., TF, WLT, ,08/24/2022,DQ-47, 12.75,KHRS-280
2704,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,ENS-108,Hrs,ZULF-2015
2705, GRF, RIG, 48,23 Aug 0500 - 0500, 7186, 901163, UNABLE TO ENGAGE BREAKER FOR VFD #2  DUE TO THE UV TRIP NOT GETTING SIGNAL FROM PLC. THE PLC IS GETTING INPUT SIGNAL BUT NO OUTPUT TO THE UV TRIP ON BREAKER., UPRA, PSYS, ,08/24/2022,ENS-108, 24,ZULF-2015
2706,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,EXL-IVA,Hrs,ZULF-2040
2707, WOTO, EX1, 12,24 Aug 1700 - 0500, 6687, 901258," LOST TIME EXPRO: PICK UP EXPRO CROSSOVER AND LOWER TO TOP OF 4 1/16"" TREE, ATTEMPT TO MAKE UP CROSSOVER WITHOUT SUCCESS, SOURCE A REPLACEMENT CROSSOVER. ", WO, NA, ,08/24/2022,EXL-IVA, 12,ZULF-2040
2708,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,HI-4,Hrs,BRRI-1001
2709, FOT, SDM, 19.25,23 Aug 1300 - 0815, 9518, 901217," 
SLB ADN TOOL LOST COMMUNICATION, TROUBLESHOOT AND ATTEMT TO REESTABLISH COMMUNICATION, NO SUCCESS", BHA, LWD, ,08/24/2022,HI-4, 3.25,BRRI-1001
2710,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/24/2022,MP-1,Hrs,MRJN-78
